"","month","race","severity","category","n"
"1700",2018-06-01,"White","misdemeanor","liquor laws",1
"1701",2018-06-01,"White","misdemeanor","theft",7
"1702",2018-06-01,"White","misdemeanor","weapons",4
"1703",2018-06-01,"White",NA,"assault and battery",1
"1704",2018-06-01,"White",NA,"drivers' licenses",3
"1705",2018-06-01,"White",NA,NA,2
"1706",2018-07-01,"Black","felony","assault and battery",3
"1707",2018-07-01,"Black","felony","false imprisonment",4
"1708",2018-07-01,"Black","felony","kidnapping",1
"1709",2018-07-01,"Black","felony","robbery",4
"1710",2018-07-01,"Black","felony","vandalism",2
"1711",2018-07-01,"Black","misdemeanor","assault and battery",4
"1712",2018-07-01,"Black","misdemeanor","drug offenses",5
"1713",2018-07-01,"Black","misdemeanor","false imprisonment",2
"1714",2018-07-01,"Black","misdemeanor","theft",1
"1715",2018-07-01,"Black","misdemeanor","vandalism",2
"1716",2018-07-01,"Black",NA,"assault and battery",2
"1717",2018-07-01,"Black",NA,"probation violations",1
"1718",2018-07-01,"Hispanic","felony","burglary",9
"1719",2018-07-01,"Hispanic","felony","drug offenses",2
"1720",2018-07-01,"Hispanic","misdemeanor","burglary",12
"1721",2018-07-01,"Hispanic","misdemeanor","drug offenses",7
"1722",2018-07-01,"Hispanic","misdemeanor","dui",1
"1723",2018-07-01,"Hispanic",NA,NA,1
"1724",2018-07-01,"Japanese",NA,"lewd conduct",1
"1725",2018-07-01,"Other","felony","burglary",3
"1726",2018-07-01,"Other","misdemeanor","burglary",4
"1727",2018-07-01,"Other","misdemeanor","drug offenses",1
"1728",2018-07-01,"Other","misdemeanor","theft",1
"1729",2018-07-01,"Other",NA,"refusal to identify",1
"1730",2018-07-01,"Other",NA,"theft",1
"1731",2018-07-01,"Other",NA,"traffic violations",1
"1732",2018-07-01,"Other",NA,"vehicular violations",1
"1733",2018-07-01,"White","felony","accessory or conspiracy",2
"1734",2018-07-01,"White","felony","arson",4
"1735",2018-07-01,"White","felony","assault and battery",2
"1736",2018-07-01,"White","felony","drug offenses",6
"1737",2018-07-01,"White","felony","false imprisonment",4
"1738",2018-07-01,"White","felony","theft",2
"1739",2018-07-01,"White","misdemeanor","accessory or conspiracy",4
"1740",2018-07-01,"White","misdemeanor","assault and battery",8
"1741",2018-07-01,"White","misdemeanor","drug offenses",19
"1742",2018-07-01,"White","misdemeanor","dui",4
"1743",2018-07-01,"White","misdemeanor","false imprisonment",2
"1744",2018-07-01,"White","misdemeanor","public justice",1
"1745",2018-07-01,"White","misdemeanor","theft",6
"1746",2018-07-01,"White",NA,"probation violations",2
"1747",2018-07-01,"White",NA,NA,5
"1748",2018-08-01,"Black","felony","drug offenses",2
"1749",2018-08-01,"Black","felony","robbery",4
"1750",2018-08-01,"Black","felony","theft",1
"1751",2018-08-01,"Black","misdemeanor","drug offenses",10
"1752",2018-08-01,"Black","misdemeanor","theft",2
"1753",2018-08-01,"Black",NA,NA,1
"1754",2018-08-01,"Hawaiian","misdemeanor","dui",2
"1755",2018-08-01,"Hispanic","felony","accessory or conspiracy",1
"1756",2018-08-01,"Hispanic","felony","assault and battery",3
"1757",2018-08-01,"Hispanic","felony","drug offenses",1
"1758",2018-08-01,"Hispanic","felony","robbery",4
"1759",2018-08-01,"Hispanic","felony","sex offenses",3
"1760",2018-08-01,"Hispanic","felony","theft",3
"1761",2018-08-01,"Hispanic","felony","weapons",2
"1762",2018-08-01,"Hispanic","misdemeanor","accessory or conspiracy",2
"1763",2018-08-01,"Hispanic","misdemeanor","assault and battery",4
"1764",2018-08-01,"Hispanic","misdemeanor","drug offenses",9
"1765",2018-08-01,"Hispanic","misdemeanor","sex offenses",1
"1766",2018-08-01,"Hispanic","misdemeanor","theft",2
"1767",2018-08-01,"Hispanic","misdemeanor","weapons",2
"1768",2018-08-01,"Hispanic",NA,"assault and battery",1
"1769",2018-08-01,"Hispanic",NA,"probation violations",1
"1770",2018-08-01,"Hispanic",NA,"sentence enhancements",1
"1771",2018-08-01,"Hispanic",NA,NA,1
"1772",2018-08-01,"Indian/Nativ","misdemeanor","disturbing the peace",1
"1773",2018-08-01,"Indian/Nativ","misdemeanor","lewd conduct",1
"1774",2018-08-01,"Indian/Nativ","misdemeanor","public justice",1
"1775",2018-08-01,"Other","felony","assault and battery",2
"1776",2018-08-01,"Other","misdemeanor","assault and battery",4
"1777",2018-08-01,"Other","misdemeanor","drug offenses",4
"1778",2018-08-01,"Other",NA,"assault and battery",1
"1779",2018-08-01,"Other",NA,"probation violations",1
"1780",2018-08-01,"Other Asian","misdemeanor","dui",2
"1781",2018-08-01,"White","felony","accessory or conspiracy",1
"1782",2018-08-01,"White","felony","assault and battery",5
"1783",2018-08-01,"White","felony","drug offenses",19
"1784",2018-08-01,"White","felony","robbery",8
"1785",2018-08-01,"White","felony","theft",4
"1786",2018-08-01,"White","felony","vandalism",2
"1787",2018-08-01,"White","misdemeanor","accessory or conspiracy",2
"1788",2018-08-01,"White","misdemeanor","assault and battery",10
"1789",2018-08-01,"White","misdemeanor","disturbing the peace",1
"1790",2018-08-01,"White","misdemeanor","drug offenses",39
"1791",2018-08-01,"White","misdemeanor","dui",3
"1792",2018-08-01,"White","misdemeanor","theft",3
"1793",2018-08-01,"White","misdemeanor","vandalism",1
"1794",2018-08-01,"White",NA,"assault and battery",1
"1795",2018-08-01,"White",NA,"drivers' licenses",2
"1796",2018-08-01,"White",NA,"probation violations",2
"1797",2018-08-01,"White",NA,"traffic violations",1
"1798",2018-08-01,"White",NA,NA,4
"1799",2018-09-01,"Black","felony","assault and battery",3
"1800",2018-09-01,"Black","felony","burglary",6
"1801",2018-09-01,"Black","felony","theft",2
"1802",2018-09-01,"Black","felony","weapons",2
"1803",2018-09-01,"Black","misdemeanor","assault and battery",4
"1804",2018-09-01,"Black","misdemeanor","burglary",8
"1805",2018-09-01,"Black","misdemeanor","dui",2
"1806",2018-09-01,"Black","misdemeanor","theft",3
"1807",2018-09-01,"Black","misdemeanor","weapons",2
"1808",2018-09-01,"Black",NA,"assault and battery",1
"1809",2018-09-01,"Black",NA,"drivers' licenses",1
"1810",2018-09-01,"Hispanic","felony","assault and battery",2
"1811",2018-09-01,"Hispanic","felony","false imprisonment",4
"1812",2018-09-01,"Hispanic","felony","theft",3
"1813",2018-09-01,"Hispanic","misdemeanor","assault and battery",6
"1814",2018-09-01,"Hispanic","misdemeanor","disturbing the peace",2
"1815",2018-09-01,"Hispanic","misdemeanor","drug offenses",9
"1816",2018-09-01,"Hispanic","misdemeanor","dui",2
"1817",2018-09-01,"Hispanic","misdemeanor","false imprisonment",2
"1818",2018-09-01,"Hispanic","misdemeanor","theft",4
"1819",2018-09-01,"Hispanic",NA,"assault and battery",1
"1820",2018-09-01,"Hispanic",NA,NA,1
"1821",2018-09-01,"Other","felony","assault and battery",1
"1822",2018-09-01,"Other","felony","drug offenses",2
"1823",2018-09-01,"Other","misdemeanor","assault and battery",2
"1824",2018-09-01,"Other","misdemeanor","drug offenses",2
"1825",2018-09-01,"Other Asian","misdemeanor","dui",2
"1826",2018-09-01,"White","felony","accessory or conspiracy",2
"1827",2018-09-01,"White","felony","assault and battery",4
"1828",2018-09-01,"White","felony","drug offenses",10
"1829",2018-09-01,"White","felony","forcible rape",1
"1830",2018-09-01,"White","felony","robbery",4
"1831",2018-09-01,"White","felony","theft",5
"1832",2018-09-01,"White","felony","vandalism",2
"1833",2018-09-01,"White","misdemeanor","accessory or conspiracy",4
"1834",2018-09-01,"White","misdemeanor","assault and battery",8
"1835",2018-09-01,"White","misdemeanor","drug offenses",46
"1836",2018-09-01,"White","misdemeanor","dui",4
"1837",2018-09-01,"White","misdemeanor","theft",5
"1838",2018-09-01,"White","misdemeanor","vandalism",2
"1839",2018-09-01,"White",NA,"assault and battery",1
"1840",2018-09-01,"White",NA,"dui",1
"1841",2018-09-01,"White",NA,"probation violations",2
"1842",2018-09-01,"White",NA,"weapons",1
"1843",2018-09-01,"White",NA,NA,1
"1844",2018-10-01,"Black","felony","accessory or conspiracy",3
"1845",2018-10-01,"Black","felony","assault and battery",2
"1846",2018-10-01,"Black","felony","drug offenses",3
"1847",2018-10-01,"Black","felony","theft",2
"1848",2018-10-01,"Black","felony","weapons",2
"1849",2018-10-01,"Black","misdemeanor","accessory or conspiracy",6
"1850",2018-10-01,"Black","misdemeanor","assault and battery",4
"1851",2018-10-01,"Black","misdemeanor","drug offenses",9
"1852",2018-10-01,"Black","misdemeanor","theft",7
"1853",2018-10-01,"Black","misdemeanor","vandalism",1
"1854",2018-10-01,"Black","misdemeanor","weapons",3
"1855",2018-10-01,"Hispanic","felony","accessory or conspiracy",2
"1856",2018-10-01,"Hispanic","felony","burglary",3
"1857",2018-10-01,"Hispanic","felony","drug offenses",2
"1858",2018-10-01,"Hispanic","felony","theft",4
"1859",2018-10-01,"Hispanic","felony","weapons",2
"1860",2018-10-01,"Hispanic","misdemeanor","accessory or conspiracy",4
"1861",2018-10-01,"Hispanic","misdemeanor","assault and battery",2
"1862",2018-10-01,"Hispanic","misdemeanor","burglary",4
"1863",2018-10-01,"Hispanic","misdemeanor","drug offenses",14
"1864",2018-10-01,"Hispanic","misdemeanor","dui",2
"1865",2018-10-01,"Hispanic","misdemeanor","theft",11
"1866",2018-10-01,"Hispanic","misdemeanor","traffic violations",2
"1867",2018-10-01,"Hispanic","misdemeanor","weapons",2
"1868",2018-10-01,"Hispanic",NA,"assault and battery",1
"1869",2018-10-01,"Hispanic",NA,"drivers' licenses",1
"1870",2018-10-01,"Hispanic",NA,"drug offenses",1
"1871",2018-10-01,"Hispanic",NA,"probation violations",1
"1872",2018-10-01,"Korean","felony","drug offenses",2
"1873",2018-10-01,"Korean","misdemeanor","drug offenses",2
"1874",2018-10-01,"Korean",NA,"vehicular violations",1
"1875",2018-10-01,"Other","felony","drug offenses",1
"1876",2018-10-01,"Other","misdemeanor","assault and battery",2
"1877",2018-10-01,"Other","misdemeanor","drug offenses",7
"1878",2018-10-01,"Other",NA,"assault and battery",1
"1879",2018-10-01,"Other",NA,"probation violations",1
"1880",2018-10-01,"Other Asian","misdemeanor","dui",2
"1881",2018-10-01,"White","felony","assault and battery",1
"1882",2018-10-01,"White","felony","burglary",3
"1883",2018-10-01,"White","felony","drug offenses",7
"1884",2018-10-01,"White","felony","homicide",5
"1885",2018-10-01,"White","felony","theft",5
"1886",2018-10-01,"White","felony","vandalism",2
"1887",2018-10-01,"White","misdemeanor","assault and battery",5
"1888",2018-10-01,"White","misdemeanor","burglary",4
"1889",2018-10-01,"White","misdemeanor","drug offenses",29
"1890",2018-10-01,"White","misdemeanor","dui",6
"1891",2018-10-01,"White","misdemeanor","theft",3
"1892",2018-10-01,"White","misdemeanor","vandalism",1
"1893",2018-10-01,"White",NA,"liquor laws",1
"1894",2018-10-01,"White",NA,"sentence enhancements",1
"1895",2018-10-01,"White",NA,NA,2
"1896",2018-11-01,"Asian Indian","misdemeanor","drug offenses",4
"1897",2018-11-01,"Black","felony","drug offenses",1
"1898",2018-11-01,"Black","misdemeanor","drug offenses",7
"1899",2018-11-01,"Hispanic","felony","drug offenses",1
"1900",2018-11-01,"Hispanic","felony","theft",4
"1901",2018-11-01,"Hispanic","misdemeanor","drug offenses",10
"1902",2018-11-01,"Hispanic","misdemeanor","dui",2
"1903",2018-11-01,"Hispanic","misdemeanor","theft",2
"1904",2018-11-01,"Korean","misdemeanor","drug offenses",1
"1905",2018-11-01,"Other Asian","felony","sex offenses",3
"1906",2018-11-01,"Other Asian","misdemeanor","dui",1
"1907",2018-11-01,"Other Asian","misdemeanor","sex offenses",1
"1908",2018-11-01,"White","felony","assault and battery",4
"1909",2018-11-01,"White","felony","burglary",3
"1910",2018-11-01,"White","felony","drug offenses",3
"1911",2018-11-01,"White","felony","hit-and-run",1
"1912",2018-11-01,"White","felony","sex offenses",3
"1913",2018-11-01,"White","felony","theft",1
"1914",2018-11-01,"White","felony","vandalism",2
"1915",2018-11-01,"White","misdemeanor","assault and battery",9
"1916",2018-11-01,"White","misdemeanor","burglary",4
"1917",2018-11-01,"White","misdemeanor","disturbing the peace",1
"1918",2018-11-01,"White","misdemeanor","drug offenses",18
"1919",2018-11-01,"White","misdemeanor","dui",2
"1920",2018-11-01,"White","misdemeanor","sex offenses",1
"1921",2018-11-01,"White","misdemeanor","theft",2
"1922",2018-11-01,"White","misdemeanor","vandalism",1
"1923",2018-11-01,"White","misdemeanor","weapons",2
"1924",2018-11-01,"White",NA,"assault and battery",1
"1925",2018-11-01,"White",NA,NA,1
"1926",2018-12-01,"Black","felony","assault and battery",1
"1927",2018-12-01,"Black","felony","drug offenses",1
"1928",2018-12-01,"Black","misdemeanor","assault and battery",2
"1929",2018-12-01,"Black","misdemeanor","drug offenses",3
"1930",2018-12-01,"Black","misdemeanor","theft",1
"1931",2018-12-01,"Black",NA,"probation violations",1
"1932",2018-12-01,"Chinese","misdemeanor","dui",2
"1933",2018-12-01,"Filipino","felony","drug offenses",1
"1934",2018-12-01,"Filipino","misdemeanor","drug offenses",3
"1935",2018-12-01,"Filipino",NA,NA,1
"1936",2018-12-01,"Hispanic","felony","accessory or conspiracy",2
"1937",2018-12-01,"Hispanic","felony","burglary",6
"1938",2018-12-01,"Hispanic","felony","stalking",1
"1939",2018-12-01,"Hispanic","felony","theft",2
"1940",2018-12-01,"Hispanic","misdemeanor","accessory or conspiracy",4
"1941",2018-12-01,"Hispanic","misdemeanor","assault and battery",2
"1942",2018-12-01,"Hispanic","misdemeanor","burglary",9
"1943",2018-12-01,"Hispanic","misdemeanor","restraining order violation",2
"1944",2018-12-01,"Hispanic","misdemeanor","theft",1
"1945",2018-12-01,"Other","felony","drug offenses",2
"1946",2018-12-01,"Other","felony","theft",2
"1947",2018-12-01,"Other","misdemeanor","drug offenses",9
"1948",2018-12-01,"Other","misdemeanor","dui",2
"1949",2018-12-01,"Other","misdemeanor","theft",1
"1950",2018-12-01,"Other",NA,"assault and battery",1
"1951",2018-12-01,"Other Asian","misdemeanor","dui",2
"1952",2018-12-01,"White","felony","assault and battery",3
"1953",2018-12-01,"White","felony","drug offenses",5
"1954",2018-12-01,"White","felony","theft",9
"1955",2018-12-01,"White","misdemeanor","assault and battery",4
"1956",2018-12-01,"White","misdemeanor","burglary",1
"1957",2018-12-01,"White","misdemeanor","disturbing the peace",1
"1958",2018-12-01,"White","misdemeanor","drug offenses",22
"1959",2018-12-01,"White","misdemeanor","dui",4
"1960",2018-12-01,"White","misdemeanor","theft",9
"1961",2018-12-01,"White",NA,"assault and battery",2
"1962",2019-01-01,"Black","felony","drug offenses",1
"1963",2019-01-01,"Black","misdemeanor","drug offenses",3
"1964",2019-01-01,"Hispanic","felony","assault and battery",2
"1965",2019-01-01,"Hispanic","felony","drug offenses",1
"1966",2019-01-01,"Hispanic","felony","false imprisonment",4
"1967",2019-01-01,"Hispanic","felony","forcible rape",1
"1968",2019-01-01,"Hispanic","felony","sex offenses",1
"1969",2019-01-01,"Hispanic","misdemeanor","assault and battery",4
"1970",2019-01-01,"Hispanic","misdemeanor","drug offenses",3
"1971",2019-01-01,"Hispanic","misdemeanor","dui",2
"1972",2019-01-01,"Hispanic","misdemeanor","false imprisonment",2
"1973",2019-01-01,"Hispanic","misdemeanor","hit-and-run",1
"1974",2019-01-01,"Hispanic",NA,"drivers' licenses",1
"1975",2019-01-01,"Hispanic",NA,"theft",1
"1976",2019-01-01,"Hispanic",NA,"traffic violations",1
"1977",2019-01-01,"White","felony","assault and battery",3
"1978",2019-01-01,"White","felony","drug offenses",6
"1979",2019-01-01,"White","felony","theft",2
"1980",2019-01-01,"White","misdemeanor","assault and battery",6
"1981",2019-01-01,"White","misdemeanor","disturbing the peace",1
"1982",2019-01-01,"White","misdemeanor","drug offenses",20
"1983",2019-01-01,"White","misdemeanor","dui",1
"1984",2019-01-01,"White","misdemeanor","theft",3
"1985",2019-01-01,"White","misdemeanor","trespassing",2
"1986",2019-01-01,"White","misdemeanor","vandalism",1
"1987",2019-01-01,"White",NA,"assault and battery",1
"1988",2019-01-01,"White",NA,"probation violations",3
"1989",2019-01-01,"White",NA,"theft",1
"1990",2019-02-01,"Asian Indian","misdemeanor","dui",2
"1991",2019-02-01,"Black","felony","assault and battery",1
"1992",2019-02-01,"Black","felony","drug offenses",3
"1993",2019-02-01,"Black","misdemeanor","assault and battery",2
"1994",2019-02-01,"Black","misdemeanor","drug offenses",8
"1995",2019-02-01,"Black",NA,"assault and battery",1
"1996",2019-02-01,"Black",NA,"sentence enhancements",1
"1997",2019-02-01,"Black",NA,NA,2
"1998",2019-02-01,"Chinese","misdemeanor","dui",2
"1999",2019-02-01,"Hispanic","felony","drug offenses",10
"2000",2019-02-01,"Hispanic","felony","theft",1
"2001",2019-02-01,"Hispanic","felony","weapons",2
"2002",2019-02-01,"Hispanic","misdemeanor","drug offenses",20
"2003",2019-02-01,"Hispanic","misdemeanor","dui",2
"2004",2019-02-01,"Hispanic","misdemeanor","theft",2
"2005",2019-02-01,"Hispanic","misdemeanor","weapons",2
"2006",2019-02-01,"Hispanic",NA,"theft",3
"2007",2019-02-01,"White","felony","accessory or conspiracy",2
"2008",2019-02-01,"White","felony","burglary",3
"2009",2019-02-01,"White","felony","drug offenses",11
"2010",2019-02-01,"White","felony","theft",1
"2011",2019-02-01,"White","misdemeanor","accessory or conspiracy",4
"2012",2019-02-01,"White","misdemeanor","burglary",4
"2013",2019-02-01,"White","misdemeanor","drug offenses",25
"2014",2019-02-01,"White","misdemeanor","dui",1
"2015",2019-02-01,"White","misdemeanor","theft",4
"2016",2019-02-01,"White",NA,"probation violations",2
"2017",2019-02-01,"White",NA,"theft",1
"2018",2019-02-01,"White",NA,NA,1
"2019",2019-03-01,"Black","misdemeanor","dui",2
"2020",2019-03-01,"Black",NA,"theft",1
"2021",2019-03-01,"Chinese","felony","assault and battery",2
"2022",2019-03-01,"Chinese","misdemeanor","assault and battery",4
"2023",2019-03-01,"Hispanic","felony","assault and battery",2
"2024",2019-03-01,"Hispanic","felony","drug offenses",5
"2025",2019-03-01,"Hispanic","felony","vandalism",2
"2026",2019-03-01,"Hispanic","misdemeanor","assault and battery",4
"2027",2019-03-01,"Hispanic","misdemeanor","drug offenses",8
"2028",2019-03-01,"Hispanic","misdemeanor","dui",2
"2029",2019-03-01,"Hispanic","misdemeanor","vandalism",1
"2030",2019-03-01,"Hispanic",NA,NA,1
"2031",2019-03-01,"Laotian","misdemeanor","drug offenses",1
"2032",2019-03-01,"Other Asian","misdemeanor","dui",2
"2033",2019-03-01,"White","felony","accessory or conspiracy",1
"2034",2019-03-01,"White","felony","assault and battery",1
"2035",2019-03-01,"White","felony","burglary",3
"2036",2019-03-01,"White","felony","drug offenses",6
"2037",2019-03-01,"White","felony","prison violations",1
"2038",2019-03-01,"White","felony","theft",2
"2039",2019-03-01,"White","misdemeanor","accessory or conspiracy",2
"2040",2019-03-01,"White","misdemeanor","assault and battery",3
"2041",2019-03-01,"White","misdemeanor","burglary",4
"2042",2019-03-01,"White","misdemeanor","drug offenses",30
"2043",2019-03-01,"White","misdemeanor","dui",11
"2044",2019-03-01,"White","misdemeanor","public justice",1
"2045",2019-03-01,"White","misdemeanor","theft",4
"2046",2019-03-01,"White","misdemeanor","trespassing",1
"2047",2019-03-01,"White",NA,"drivers' licenses",1
"2048",2019-03-01,"White",NA,"probation violations",1
"2049",2019-03-01,"White",NA,NA,1
"2050",2019-04-01,"Asian Indian","misdemeanor","drug offenses",5
"2051",2019-04-01,"Black","felony","assault and battery",1
"2052",2019-04-01,"Black","misdemeanor","assault and battery",2
"2053",2019-04-01,"Black","misdemeanor","dui",4
"2054",2019-04-01,"Black",NA,"assault and battery",1
"2055",2019-04-01,"Chinese","misdemeanor","dui",2
"2056",2019-04-01,"Hispanic","felony","assault and battery",1
"2057",2019-04-01,"Hispanic","felony","drug offenses",1
"2058",2019-04-01,"Hispanic","felony","false imprisonment",4
"2059",2019-04-01,"Hispanic","misdemeanor","assault and battery",2
"2060",2019-04-01,"Hispanic","misdemeanor","drug offenses",4
"2061",2019-04-01,"Hispanic","misdemeanor","dui",4
"2062",2019-04-01,"Hispanic","misdemeanor","false imprisonment",2
"2063",2019-04-01,"Other","felony","drug offenses",2
"2064",2019-04-01,"Other","felony","robbery",4
"2065",2019-04-01,"Other","misdemeanor","drug offenses",7
"2066",2019-04-01,"White","felony","assault and battery",1
"2067",2019-04-01,"White","felony","drug offenses",15
"2068",2019-04-01,"White","felony","dui",3
"2069",2019-04-01,"White","felony","theft",4
"2070",2019-04-01,"White","misdemeanor","assault and battery",3
"2071",2019-04-01,"White","misdemeanor","disturbing the peace",1
"2072",2019-04-01,"White","misdemeanor","drug offenses",57
"2073",2019-04-01,"White","misdemeanor","dui",11
"2074",2019-04-01,"White","misdemeanor","public justice",1
"2075",2019-04-01,"White","misdemeanor","theft",8
"2076",2019-04-01,"White","misdemeanor","vandalism",3
"2077",2019-04-01,"White",NA,"probation violations",4
"2078",2019-04-01,"White",NA,"theft",1
"2079",2019-04-01,"White",NA,NA,2
"2080",2019-05-01,"Black","felony","assault and battery",2
"2081",2019-05-01,"Black","felony","false imprisonment",8
"2082",2019-05-01,"Black","felony","kidnapping",1
"2083",2019-05-01,"Black","misdemeanor","assault and battery",4
"2084",2019-05-01,"Black","misdemeanor","drug offenses",4
"2085",2019-05-01,"Black","misdemeanor","dui",4
"2086",2019-05-01,"Black","misdemeanor","false imprisonment",4
"2087",2019-05-01,"Black","misdemeanor","theft",1
"2088",2019-05-01,"Hispanic","misdemeanor","drug offenses",4
"2089",2019-05-01,"Hispanic","misdemeanor","dui",2
"2090",2019-05-01,"Hispanic","misdemeanor","restraining order violation",2
"2091",2019-05-01,"Hispanic",NA,"drivers' licenses",1
"2092",2019-05-01,"Hispanic",NA,"dui",1
"2093",2019-05-01,"Hispanic",NA,"vehicular violations",2
"2094",2019-05-01,"Other Asian","misdemeanor","assault and battery",1
"2095",2019-05-01,"Other Asian","misdemeanor","drug offenses",1
"2096",2019-05-01,"Other Asian","misdemeanor","trespassing",1
"2097",2019-05-01,"White","felony","assault and battery",4
"2098",2019-05-01,"White","felony","burglary",6
"2099",2019-05-01,"White","felony","drug offenses",17
"2100",2019-05-01,"White","felony","false imprisonment",4
"2101",2019-05-01,"White","felony","theft",3
"2102",2019-05-01,"White","felony","weapons",2
"2103",2019-05-01,"White","misdemeanor","assault and battery",12
"2104",2019-05-01,"White","misdemeanor","burglary",8
"2105",2019-05-01,"White","misdemeanor","disturbing the peace",2
"2106",2019-05-01,"White","misdemeanor","drug offenses",38
"2107",2019-05-01,"White","misdemeanor","dui",4
"2108",2019-05-01,"White","misdemeanor","false imprisonment",2
"2109",2019-05-01,"White","misdemeanor","public justice",1
"2110",2019-05-01,"White","misdemeanor","theft",6
"2111",2019-05-01,"White","misdemeanor","weapons",2
"2112",2019-05-01,"White",NA,"assault and battery",4
"2113",2019-05-01,"White",NA,"drivers' licenses",1
"2114",2019-05-01,"White",NA,"procedure",1
"2115",2019-05-01,"White",NA,"theft",2
"2116",2019-05-01,"White",NA,NA,5
"2117",2019-06-01,"Black","misdemeanor","drug offenses",1
"2118",2019-06-01,"Black","misdemeanor","dui",2
"2119",2019-06-01,"Black",NA,NA,1
"2120",2019-06-01,"Hawaiian","felony","accessory or conspiracy",1
"2121",2019-06-01,"Hawaiian","felony","drug offenses",2
"2122",2019-06-01,"Hawaiian","misdemeanor","accessory or conspiracy",2
"2123",2019-06-01,"Hispanic","felony","accessory or conspiracy",1
"2124",2019-06-01,"Hispanic","felony","assault and battery",3
"2125",2019-06-01,"Hispanic","felony","burglary",3
"2126",2019-06-01,"Hispanic","felony","drug offenses",5
"2127",2019-06-01,"Hispanic","felony","kidnapping",1
"2128",2019-06-01,"Hispanic","felony","robbery",1
"2129",2019-06-01,"Hispanic","felony","theft",3
"2130",2019-06-01,"Hispanic","felony","weapons",2
"2131",2019-06-01,"Hispanic","misdemeanor","accessory or conspiracy",2
"2132",2019-06-01,"Hispanic","misdemeanor","assault and battery",4
"2133",2019-06-01,"Hispanic","misdemeanor","burglary",4
"2134",2019-06-01,"Hispanic","misdemeanor","drug offenses",15
"2135",2019-06-01,"Hispanic","misdemeanor","theft",3
"2136",2019-06-01,"Hispanic","misdemeanor","weapons",2
"2137",2019-06-01,"Hispanic",NA,"assault and battery",1
"2138",2019-06-01,"Hispanic",NA,"probation violations",1
"2139",2019-06-01,"Hispanic",NA,"theft",1
"2140",2019-06-01,"Other",NA,"theft",1
"2141",2019-06-01,"Other Asian","felony","assault and battery",1
"2142",2019-06-01,"Other Asian","misdemeanor","assault and battery",2
"2143",2019-06-01,"White","felony","accessory or conspiracy",2
"2144",2019-06-01,"White","felony","assault and battery",1
"2145",2019-06-01,"White","felony","burglary",3
"2146",2019-06-01,"White","felony","drug offenses",8
"2147",2019-06-01,"White","felony","false imprisonment",4
"2148",2019-06-01,"White","felony","robbery",4
"2149",2019-06-01,"White","felony","vandalism",2
"2150",2019-06-01,"White","misdemeanor","accessory or conspiracy",4
"2151",2019-06-01,"White","misdemeanor","assault and battery",4
"2152",2019-06-01,"White","misdemeanor","burglary",5
"2153",2019-06-01,"White","misdemeanor","contempt of court",1
"2154",2019-06-01,"White","misdemeanor","disturbing the peace",2
"2155",2019-06-01,"White","misdemeanor","drug offenses",36
"2156",2019-06-01,"White","misdemeanor","dui",6
"2157",2019-06-01,"White","misdemeanor","false imprisonment",2
"2158",2019-06-01,"White","misdemeanor","lewd conduct",1
"2159",2019-06-01,"White","misdemeanor","theft",1
"2160",2019-06-01,"White","misdemeanor","trespassing",1
"2161",2019-06-01,"White","misdemeanor","vandalism",3
"2162",2019-06-01,"White","misdemeanor","weapons",1
"2163",2019-06-01,"White",NA,"drivers' licenses",1
"2164",2019-06-01,"White",NA,"drug offenses",1
"2165",2019-06-01,"White",NA,"probation violations",2
"2166",2019-06-01,"White",NA,"theft",1
"2167",2019-07-01,"Black","felony","burglary",3
"2168",2019-07-01,"Black","misdemeanor","burglary",4
"2169",2019-07-01,"Black","misdemeanor","explosives",2
"2170",2019-07-01,"Hispanic","felony","assault and battery",1
"2171",2019-07-01,"Hispanic","felony","drug offenses",4
"2172",2019-07-01,"Hispanic","felony","robbery",4
"2173",2019-07-01,"Hispanic","misdemeanor","assault and battery",2
"2174",2019-07-01,"Hispanic","misdemeanor","drug offenses",22
"2175",2019-07-01,"Hispanic","misdemeanor","dui",6
"2176",2019-07-01,"Hispanic","misdemeanor","public justice",1
"2177",2019-07-01,"Hispanic","misdemeanor","theft",1
"2178",2019-07-01,"Hispanic",NA,NA,1
"2179",2019-07-01,"Indian/Nativ","felony","drug offenses",1
"2180",2019-07-01,"Indian/Nativ","misdemeanor","drug offenses",3
"2181",2019-07-01,"Indian/Nativ","misdemeanor","theft",1
"2182",2019-07-01,"Indian/Nativ",NA,NA,1
"2183",2019-07-01,"Other Asian","misdemeanor","drug offenses",4
"2184",2019-07-01,"Other Asian","misdemeanor","dui",2
"2185",2019-07-01,"White","felony","assault and battery",2
"2186",2019-07-01,"White","felony","burglary",3
"2187",2019-07-01,"White","felony","drug offenses",21
"2188",2019-07-01,"White","felony","theft",3
"2189",2019-07-01,"White","felony","weapons",8
"2190",2019-07-01,"White","misdemeanor","assault and battery",4
"2191",2019-07-01,"White","misdemeanor","burglary",4
"2192",2019-07-01,"White","misdemeanor","drug offenses",44
"2193",2019-07-01,"White","misdemeanor","dui",4
"2194",2019-07-01,"White","misdemeanor","restraining order violation",2
"2195",2019-07-01,"White","misdemeanor","theft",5
"2196",2019-07-01,"White","misdemeanor","weapons",6
"2197",2019-07-01,"White",NA,"drug offenses",1
"2198",2019-07-01,"White",NA,"probation violations",1
"2199",2019-07-01,"White",NA,"theft",2
